Last_Update,Country_Region,Province_State,Copy_of_Confirmed,Copy_of_Deaths,Copy_of_Recovered
2020-01-23,Mainland China,Tibet,0,0,0
2020-01-23,Mainland China,Xinjiang,2,0,0
2020-01-23,Mainland China,Yunnan,2,0,0
2020-01-23,Mainland China,Zhejiang,27,0,0
2020-01-23,Taiwan,Taiwan,1,0,0
2020-01-23,US,Washington,1,0,0
2020-01-24,Hong Kong,Hong Kong,2,0,0
2020-01-24,Macau,Macau,2,0,0
2020-01-24,Mainland China,Anhui,15,0,0
2020-01-24,Mainland China,Beijing,36,0,1
2020-01-24,Mainland China,Chongqing,27,0,0
2020-01-24,Mainland China,Fujian,10,0,0
2020-01-24,Mainland China,Gansu,2,0,0
2020-01-24,Mainland China,Guangdong,53,0,2
2020-01-24,Mainland China,Guangxi,23,0,0
2020-01-24,Mainland China,Guizhou,3,0,0
2020-01-24,Mainland China,Hainan,8,0,0
2020-01-24,Mainland China,Hebei,2,1,0
2020-01-24,Mainland China,Heilongjiang,4,1,0
2020-01-24,Mainland China,Henan,9,0,0
2020-01-24,Mainland China,Hubei,549,24,31
2020-01-24,Mainland China,Hunan,24,0,0
2020-01-24,Mainland China,Inner Mongolia,1,0,0
2020-01-24,Mainland China,Jiangsu,9,0,0
2020-01-24,Mainland China,Jiangxi,18,0,0
2020-01-24,Mainland China,Jilin,3,0,0
2020-01-24,Mainland China,Liaoning,4,0,0
2020-01-24,Mainland China,Ningxia,2,0,0
2020-01-24,Mainland China,Qinghai,0,0,0
2020-01-24,Mainland China,Shaanxi,5,0,0
2020-01-24,Mainland China,Shandong,15,0,0
2020-01-24,Mainland China,Shanghai,20,0,1
2020-01-24,Mainland China,Shanxi,1,0,0
2020-01-24,Mainland China,Sichuan,15,0,0
2020-01-24,Mainland China,Tianjin,8,0,0
2020-01-24,Mainland China,Xinjiang,2,0,0
2020-01-24,Mainland China,Yunnan,5,0,0
2020-01-24,Mainland China,Zhejiang,43,0,1
2020-01-24,Taiwan,Taiwan,3,0,0
2020-01-24,US,Chicago,1,0,0
2020-01-24,US,Washington,1,0,0
2020-01-25,Hong Kong,Hong Kong,5,0,0
2020-01-25,Macau,Macau,2,0,0
2020-01-25,Mainland China,Anhui,39,0,0
2020-01-25,Mainland China,Beijing,41,0,2
2020-01-25,Mainland China,Chongqing,57,0,0
2020-01-25,Mainland China,Fujian,18,0,0
2020-01-25,Mainland China,Gansu,4,0,0
2020-01-25,Mainland China,Guangdong,78,0,2
2020-01-25,Mainland China,Guangxi,23,0,0
2020-01-25,Mainland China,Guizhou,4,0,0
2020-01-25,Mainland China,Hainan,19,0,0
2020-01-25,Mainland China,Hebei,8,1,0
2020-01-25,Mainland China,Heilongjiang,9,1,0
2020-01-25,Mainland China,Henan,32,0,0
2020-01-25,Mainland China,Hubei,761,40,32
2020-01-25,Mainland China,Hunan,43,0,0
2020-01-25,Mainland China,Inner Mongolia,7,0,0
2020-01-25,Mainland China,Jiangsu,18,0,1
2020-01-25,Mainland China,Jiangxi,18,0,0
2020-01-25,Mainland China,Jilin,4,0,0
2020-01-25,Mainland China,Liaoning,17,0,0
2020-01-25,Mainland China,Ningxia,3,0,0
2020-01-25,Mainland China,Qinghai,1,0,0
2020-01-25,Mainland China,Shaanxi,15,0,0
2020-01-25,Mainland China,Shandong,27,0,0
2020-01-25,Mainland China,Shanghai,33,0,1
2020-01-25,Mainland China,Shanxi,6,0,0
2020-01-25,Mainland China,Sichuan,28,0,0
2020-01-25,Mainland China,Tianjin,10,0,0
2020-01-25,Mainland China,Xinjiang,3,0,0
2020-01-25,Mainland China,Yunnan,11,0,0
2020-01-25,Mainland China,Zhejiang,62,0,1
2020-01-25,Taiwan,Taiwan,3,0,0
2020-01-25,US,Illinois,1,0,0
2020-01-25,US,Washington,1,0,0
2020-01-26,Canada,Ontario,1,0,0
2020-01-26,Hong Kong,Hong Kong,8,0,0
2020-01-26,Macau,Macau,5,0,0
2020-01-26,Mainland China,Anhui,60,0,0
2020-01-26,Mainland China,Beijing,68,0,2
2020-01-26,Mainland China,Chongqing,75,0,0
2020-01-26,Mainland China,Fujian,35,0,0
2020-01-26,Mainland China,Gansu,7,0,0
2020-01-26,Mainland China,Guangdong,111,0,2
2020-01-26,Mainland China,Guangxi,36,0,0
2020-01-26,Mainland China,Guizhou,5,0,0
2020-01-26,Mainland China,Hainan,22,0,0
2020-01-26,Mainland China,Hebei,13,1,0
2020-01-26,Mainland China,Heilongjiang,15,1,0
2020-01-26,Mainland China,Henan,83,1,0
2020-01-26,Mainland China,Hubei,1058,52,42
2020-01-26,Mainland China,Hunan,69,0,0
2020-01-26,Mainland China,Inner Mongolia,7,0,0
2020-01-26,Mainland China,Jiangsu,33,0,1
2020-01-26,Mainland China,Jiangxi,36,0,0
2020-01-26,Mainland China,Jilin,4,0,0
2020-01-26,Mainland China,Liaoning,21,0,0
2020-01-26,Mainland China,Ningxia,4,0,0
2020-01-26,Mainland China,Qinghai,1,0,0
2020-01-26,Mainland China,Shaanxi,22,0,0
2020-01-26,Mainland China,Shandong,46,0,0
2020-01-26,Mainland China,Shanghai,40,1,1
2020-01-26,Mainland China,Shanxi,9,0,0
2020-01-26,Mainland China,Sichuan,44,0,0
2020-01-26,Mainland China,Tianjin,14,0,0
2020-01-26,Mainland China,Xinjiang,4,0,0
2020-01-26,Mainland China,Yunnan,16,0,0
2020-01-26,Mainland China,Zhejiang,104,0,1
2020-01-26,Taiwan,Taiwan,4,0,0
2020-01-26,US,Arizona,1,0,0
2020-01-26,US,California,2,0,0
2020-01-26,US,Illinois,1,0,0
2020-01-26,US,Washington,1,0,0
2020-01-27,Australia,New South Wales,4,0,0
2020-01-27,Australia,Victoria,1,0,0
2020-01-27,Canada,Ontario,1,0,0
2020-01-27,Hong Kong,Hong Kong,8,0,0
2020-01-27,Macau,Macau,6,0,0
2020-01-27,Mainland China,Anhui,70,0,0
2020-01-27,Mainland China,Beijing,80,1,2
2020-01-27,Mainland China,Chongqing,110,0,0
2020-01-27,Mainland China,Fujian,59,0,0
2020-01-27,Mainland China,Gansu,14,0,0
2020-01-27,Mainland China,Guangdong,151,0,4
2020-01-27,Mainland China,Guangxi,46,0,0
2020-01-27,Mainland China,Guizhou,7,0,0
2020-01-27,Mainland China,Hainan,33,1,0
2020-01-27,Mainland China,Hebei,18,1,0
2020-01-27,Mainland China,Heilongjiang,21,1,0
2020-01-27,Mainland China,Henan,128,1,0
2020-01-27,Mainland China,Hubei,1423,76,45
2020-01-27,Mainland China,Hunan,100,0,0
2020-01-27,Mainland China,Inner Mongolia,11,0,0
2020-01-27,Mainland China,Jiangsu,47,0,1
2020-01-27,Mainland China,Jiangxi,72,0,2
2020-01-27,Mainland China,Jilin,6,0,0
2020-01-27,Mainland China,Liaoning,27,0,0
2020-01-27,Mainland China,Ningxia,7,0,0
2020-01-27,Mainland China,Qinghai,6,0,0
2020-01-27,Mainland China,Shaanxi,35,0,0
2020-01-27,Mainland China,Shandong,75,0,0
2020-01-27,Mainland China,Shanghai,53,1,3
2020-01-27,Mainland China,Shanxi,13,0,0
2020-01-27,Mainland China,Sichuan,69,0,0
2020-01-27,Mainland China,Tianjin,23,0,0
2020-01-27,Mainland China,Xinjiang,5,0,0
2020-01-27,Mainland China,Yunnan,26,0,0
2020-01-27,Mainland China,Zhejiang,128,0,1
2020-01-27,Taiwan,Taiwan,5,0,0
2020-01-27,US,Arizona,1,0,0
2020-01-27,US,California,2,0,0
2020-01-27,US,Illinois,1,0,0
2020-01-27,US,Washington,1,0,0
2020-01-28,Australia,New South Wales,4,0,0
2020-01-28,Australia,Victoria,1,0,0
2020-01-28,Canada,British Columbia,1,0,0
2020-01-28,Canada,Ontario,1,0,0
2020-01-28,Germany,Bavaria,4,0,0
2020-01-28,Hong Kong,Hong Kong,8,0,0
2020-01-28,Macau,Macau,7,0,0
2020-01-28,Mainland China,Anhui,106,0,0
2020-01-28,Mainland China,Beijing,91,1,4
2020-01-28,Mainland China,Chongqing,132,0,0
2020-01-28,Mainland China,Fujian,80,0,0
2020-01-28,Mainland China,Gansu,19,0,0
2020-01-28,Mainland China,Guangdong,207,0,4
2020-01-28,Mainland China,Guangxi,51,0,2
2020-01-28,Mainland China,Guizhou,9,0,0
2020-01-28,Mainland China,Hainan,40,1,0
2020-01-28,Mainland China,Hebei,33,1,0
2020-01-28,Mainland China,Heilongjiang,33,1,0
2020-01-28,Mainland China,Henan,168,1,0
2020-01-28,Mainland China,Hubei,3554,125,80
2020-01-28,Mainland China,Hunan,143,0,0
2020-01-28,Mainland China,Inner Mongolia,15,0,0
2020-01-28,Mainland China,Jiangsu,70,0,1
2020-01-28,Mainland China,Jiangxi,109,0,3
2020-01-28,Mainland China,Jilin,8,0,0
2020-01-28,Mainland China,Liaoning,34,0,0
2020-01-28,Mainland China,Ningxia,11,0,0
2020-01-28,Mainland China,Qinghai,6,0,0
2020-01-28,Mainland China,Shaanxi,46,0,0
2020-01-28,Mainland China,Shandong,95,0,0
2020-01-28,Mainland China,Shanghai,66,1,4
2020-01-28,Mainland China,Shanxi,27,0,0
2020-01-28,Mainland China,Sichuan,90,0,0
2020-01-28,Mainland China,Tianjin,24,0,0
2020-01-28,Mainland China,Xinjiang,10,0,0
2020-01-28,Mainland China,Yunnan,44,0,0
2020-01-28,Mainland China,Zhejiang,173,0,3
2020-01-28,Taiwan,Taiwan,8,0,0
2020-01-28,US,Arizona,1,0,0
2020-01-28,US,California,2,0,0
2020-01-28,US,Illinois,1,0,0
2020-01-28,US,Washington,1,0,0
2020-01-29,Australia,New South Wales,4,0,0
2020-01-29,Australia,Victoria,1,0,0
2020-01-29,Canada,British Columbia,1,0,0
2020-01-29,Canada,Ontario,1,0,0
2020-01-29,Germany,Bavaria,4,0,0
2020-01-29,Hong Kong,Hong Kong,10,0,0
2020-01-29,Macau,Macau,7,0,0
2020-01-29,Mainland China,Anhui,152,0,2
2020-01-29,Mainland China,Beijing,111,1,4
2020-01-29,Mainland China,Chongqing,147,0,1
2020-01-29,Mainland China,Fujian,84,0,0
2020-01-29,Mainland China,Gansu,24,0,0
2020-01-29,Mainland China,Guangdong,277,0,5
2020-01-29,Mainland China,Guangxi,58,0,2
2020-01-29,Mainland China,Guizhou,9,0,1
2020-01-29,Mainland China,Hainan,43,1,0
2020-01-29,Mainland China,Hebei,48,1,0
2020-01-29,Mainland China,Heilongjiang,38,1,0
2020-01-29,Mainland China,Henan,206,2,1
2020-01-29,Mainland China,Hubei,3554,125,88
2020-01-29,Mainland China,Hunan,221,0,0
2020-01-29,Mainland China,Inner Mongolia,16,0,0
2020-01-29,Mainland China,Jiangsu,99,0,1
2020-01-29,Mainland China,Jiangxi,109,0,3
2020-01-29,Mainland China,Jilin,9,0,0
2020-01-29,Mainland China,Liaoning,39,0,1
2020-01-29,Mainland China,Ningxia,12,0,0
2020-01-29,Mainland China,Qinghai,6,0,0
2020-01-29,Mainland China,Shaanxi,56,0,0
2020-01-29,Mainland China,Shandong,130,0,1
2020-01-29,Mainland China,Shanghai,96,1,5
2020-01-29,Mainland China,Shanxi,27,0,1
2020-01-29,Mainland China,Sichuan,108,1,1
2020-01-29,Mainland China,Tianjin,27,0,0
2020-01-29,Mainland China,Xinjiang,13,0,0
2020-01-29,Mainland China,Yunnan,55,0,0
2020-01-29,Mainland China,Zhejiang,296,0,3
2020-01-29,Taiwan,Taiwan,8,0,0
2020-01-29,US,Arizona,1,0,0
2020-01-29,US,California,2,0,0
2020-01-29,US,Illinois,1,0,0
2020-01-29,US,Washington,1,0,0
2020-01-30,Australia,New South Wales,4,0,2
2020-01-30,Australia,Queensland,3,0,0
2020-01-30,Australia,Victoria,2,0,0
2020-01-30,Canada,British Columbia,1,0,0
2020-01-30,Canada,Ontario,2,0,0
2020-01-30,Germany,Bavaria,4,0,0
2020-01-30,Hong Kong,Hong Kong,10,0,0
2020-01-30,Macau,Macau,7,0,0
2020-01-30,Mainland China,Anhui,200,0,2
2020-01-30,Mainland China,Beijing,114,1,4
2020-01-30,Mainland China,Chongqing,182,0,1
2020-01-30,Mainland China,Fujian,101,0,0
2020-01-30,Mainland China,Gansu,26,0,0
2020-01-30,Mainland China,Guangdong,354,0,10
2020-01-30,Mainland China,Guangxi,78,0,2
2020-01-30,Mainland China,Guizhou,12,0,1
2020-01-30,Mainland China,Hainan,46,1,1
2020-01-30,Mainland China,Hebei,65,1,0
2020-01-30,Mainland China,Heilongjiang,44,2,0
2020-01-30,Mainland China,Henan,278,2,2
2020-01-30,Mainland China,Hubei,4903,162,90
2020-01-30,Mainland China,Hunan,277,0,2
2020-01-30,Mainland China,Inner Mongolia,19,0,0
2020-01-30,Mainland China,Jiangsu,129,0,1
2020-01-30,Mainland China,Jiangxi,162,0,5
2020-01-30,Mainland China,Jilin,14,0,1
2020-01-30,Mainland China,Liaoning,41,0,1
2020-01-30,Mainland China,Ningxia,17,0,0
2020-01-30,Mainland China,Qinghai,8,0,0
2020-01-30,Mainland China,Shaanxi,63,0,0
2020-01-30,Mainland China,Shandong,158,0,1
2020-01-30,Mainland China,Shanghai,112,1,5
2020-01-30,Mainland China,Shanxi,35,0,1
2020-01-30,Mainland China,Sichuan,142,1,1
2020-01-30,Mainland China,Tianjin,31,0,0
2020-01-30,Mainland China,Tibet,1,0,0
2020-01-30,Mainland China,Xinjiang,14,0,0
2020-01-30,Mainland China,Yunnan,70,0,0
2020-01-30,Mainland China,Zhejiang,428,0,4
2020-01-30,Taiwan,Taiwan,9,0,0
2020-01-30,US,Arizona,1,0,0
2020-01-30,US,California,2,0,0
2020-01-30,US,Illinois,1,0,0
2020-01-30,US,Washington,1,0,0
2020-01-31,Australia,New South Wales,4,0,2
2020-01-31,Australia,Queensland,2,0,0
2020-01-31,Australia,Victoria,3,0,0
2020-01-31,Canada,British Columbia,1,0,0
2020-01-31,Canada,Ontario,2,0,0
2020-01-31,Germany,Bavaria,5,0,0
2020-01-31,Hong Kong,Hong Kong,12,0,0
2020-01-31,Macau,Macau,14,0,0
2020-01-31,Mainland China,Anhui,237,0,3
2020-01-31,Mainland China,Beijing,139,1,5
2020-01-31,Mainland China,Chongqing,211,0,1
2020-01-31,Mainland China,Fujian,120,0,0
2020-01-31,Mainland China,Gansu,29,0,0
2020-01-31,Mainland China,Guangdong,436,0,11
2020-01-31,Mainland China,Guangxi,87,0,2
2020-01-31,Mainland China,Guizhou,58,0,4
2020-01-31,Mainland China,Hainan,52,1,1
2020-01-31,Mainland China,Hebei,82,1,0
2020-01-31,Mainland China,Heilongjiang,59,2,0
2020-01-31,Mainland China,Henan,352,2,3
2020-01-31,Mainland China,Hubei,5806,204,141
2020-01-31,Mainland China,Hunan,332,0,2
2020-01-31,Mainland China,Inner Mongolia,20,0,1
2020-01-31,Mainland China,Jiangsu,168,0,5
2020-01-31,Mainland China,Jiangxi,240,0,7
2020-01-31,Mainland China,Jilin,14,0,1
2020-01-31,Mainland China,Liaoning,48,0,1
2020-01-31,Mainland China,Ningxia,21,0,0
2020-01-31,Mainland China,Qinghai,8,0,0
2020-01-31,Mainland China,Shaanxi,87,0,0
2020-01-31,Mainland China,Shandong,184,0,2
2020-01-31,Mainland China,Shanghai,135,1,9
2020-01-31,Mainland China,Shanxi,39,0,1
2020-01-31,Mainland China,Sichuan,177,1,1
2020-01-31,Mainland China,Tianjin,32,0,0
2020-01-31,Mainland China,Tibet,1,0,0
2020-01-31,Mainland China,Xinjiang,17,0,0
2020-01-31,Mainland China,Yunnan,83,0,1
2020-01-31,Mainland China,Zhejiang,538,0,14
2020-01-31,Taiwan,Taiwan,40,0,0
2020-01-31,US,Arizona,1,0,0
2020-01-31,US,California,2,0,0
2020-01-31,US,Illinois,2,0,0
2020-01-31,US,Washington,1,0,0
2020-02-01,Australia,New South Wales,20,0,10
2020-02-01,Australia,Queensland,3,0,0
2020-02-01,Australia,South Australia,1,0,0
2020-02-01,Australia,Victoria,48,0,0
2020-02-01,Canada,British Columbia,4,0,0
2020-02-01,Canada,Ontario,9,0,0
2020-02-01,Hong Kong,Hong Kong,13,0,0
2020-02-01,Mainland China,Anhui,297,0,5
2020-02-01,Mainland China,Beijing,168,1,9
2020-02-01,Mainland China,Chongqing,247,1,3
2020-02-01,Mainland China,Fujian,144,0,0
2020-02-01,Mainland China,Gansu,40,0,0
2020-02-01,Mainland China,Guangdong,535,0,14
2020-02-01,Mainland China,Guangxi,100,0,2
2020-02-01,Mainland China,Hainan,62,1,1
2020-02-01,Mainland China,Hebei,96,1,0
2020-02-01,Mainland China,Heilongjiang,80,2,2
2020-02-01,Mainland China,Henan,422,2,3
2020-02-01,Mainland China,Hubei,7153,249,168
2020-02-01,Mainland China,Hunan,389,0,8
2020-02-01,Mainland China,Inner Mongolia,23,0,1
2020-02-01,Mainland China,Jiangsu,202,0,6
2020-02-01,Mainland China,Jiangxi,286,0,9
2020-02-01,Mainland China,Jilin,17,0,1
2020-02-01,Mainland China,Liaoning,64,0,1
2020-02-01,Mainland China,Ningxia,26,0,0
2020-02-01,Mainland China,Qinghai,9,0,0
2020-02-01,Mainland China,Shaanxi,101,0,0
2020-02-01,Mainland China,Shandong,206,0,3
2020-02-01,Mainland China,Shanghai,169,1,10
2020-02-01,Mainland China,Shanxi,47,0,1
2020-02-01,Mainland China,Sichuan,207,1,3
2020-02-01,Mainland China,Tianjin,41,0,0
2020-02-01,Mainland China,Tibet,11,0,0
2020-02-01,Mainland China,Xinjiang,18,0,0
2020-02-01,Mainland China,Yunnan,93,0,2
2020-02-01,Mainland China,Zhejiang,599,0,21
2020-02-02,Australia,Queensland,4,0,0
2020-02-02,Australia,South Australia,24,0,0
2020-02-02,Hong Kong,Hong Kong,30,0,0
2020-02-02,Macau,Macau,16,0,0
2020-02-02,Mainland China,Anhui,340,0,7
2020-02-02,Mainland China,Beijing,191,1,9
2020-02-02,Mainland China,Chongqing,300,2,7
2020-02-02,Mainland China,Fujian,159,0,0
2020-02-02,Mainland China,Gansu,51,0,3
2020-02-02,Mainland China,Guangdong,632,0,15
2020-02-02,Mainland China,Guangxi,111,0,2
2020-02-02,Mainland China,Guizhou,38,0,2
2020-02-02,Mainland China,Hainan,64,1,4
2020-02-02,Mainland China,Hebei,104,1,3
2020-02-02,Mainland China,Heilongjiang,95,2,2
2020-02-02,Mainland China,Henan,493,2,10
2020-02-02,Mainland China,Hubei,11177,350,295
2020-02-02,Mainland China,Hunan,463,0,16
2020-02-02,Mainland China,Inner Mongolia,27,0,1
2020-02-02,Mainland China,Jiangsu,236,0,7
2020-02-02,Mainland China,Jiangxi,333,0,12
2020-02-02,Mainland China,Jilin,23,0,1
2020-02-02,Mainland China,Liaoning,70,0,1
2020-02-02,Mainland China,Ningxia,28,0,0
2020-02-02,Mainland China,Qinghai,11,0,0
2020-02-02,Mainland China,Shaanxi,116,0,0
2020-02-02,Mainland China,Shandong,230,0,6
2020-02-02,Mainland China,Shanghai,182,1,10
2020-02-02,Mainland China,Shanxi,66,0,3
2020-02-02,Mainland China,Sichuan,231,1,11
2020-02-02,Mainland China,Tianjin,48,0,1
2020-02-02,Mainland China,Xinjiang,21,0,0
2020-02-02,Mainland China,Yunnan,105,0,3
2020-02-02,Mainland China,Zhejiang,661,0,32
2020-02-03,Mainland China,Anhui,408,0,14
2020-02-03,Mainland China,Beijing,212,1,12
2020-02-03,Mainland China,Chongqing,337,2,9
2020-02-03,Mainland China,Fujian,179,0,1
2020-02-03,Mainland China,Gansu,55,0,3
2020-02-03,Mainland China,Guangdong,725,0,21
2020-02-03,Mainland China,Guangxi,127,0,7
2020-02-03,Mainland China,Guizhou,46,0,2
2020-02-03,Mainland China,Hainan,72,1,4
2020-02-03,Mainland China,Hebei,113,1,3
2020-02-03,Mainland China,Heilongjiang,121,2,2
2020-02-03,Mainland China,Henan,566,2,16
2020-02-03,Mainland China,Hubei,13522,414,386
2020-02-03,Mainland China,Hunan,521,0,22
2020-02-03,Mainland China,Inner Mongolia,34,0,1
2020-02-03,Mainland China,Jiangsu,271,0,8
2020-02-03,Mainland China,Jiangxi,391,0,18
2020-02-03,Mainland China,Jilin,31,0,1
2020-02-03,Mainland China,Liaoning,74,0,1
2020-02-03,Mainland China,Ningxia,31,0,1
2020-02-03,Mainland China,Qinghai,13,0,0
2020-02-03,Mainland China,Shaanxi,128,0,0
2020-02-03,Mainland China,Shandong,259,0,7
2020-02-03,Mainland China,Shanghai,203,1,10
2020-02-03,Mainland China,Shanxi,74,0,2
2020-02-03,Mainland China,Sichuan,254,1,14
2020-02-03,Mainland China,Tianjin,60,0,1
2020-02-03,Mainland China,Xinjiang,24,0,0
2020-02-03,Mainland China,Yunnan,117,0,5
2020-02-03,Mainland China,Zhejiang,724,0,43
2020-02-04,Australia,Queensland,6,0,0
2020-02-04,Hong Kong,Hong Kong,17,1,0
2020-02-04,Macau,Macau,20,0,0
2020-02-04,Mainland China,Anhui,480,0,20
2020-02-04,Mainland China,Beijing,228,1,23
2020-02-04,Mainland China,Chongqing,366,2,9
2020-02-04,Mainland China,Fujian,194,0,3
2020-02-04,Mainland China,Gansu,57,0,4
2020-02-04,Mainland China,Guangdong,813,0,30
2020-02-04,Mainland China,Guangxi,139,0,10
2020-02-04,Mainland China,Guizhou,58,0,2
2020-02-04,Mainland China,Hainan,80,1,5
2020-02-04,Mainland China,Hebei,126,1,4
2020-02-04,Mainland China,Heilongjiang,155,2,4
2020-02-04,Mainland China,Henan,675,2,27
2020-02-04,Mainland China,Hubei,16678,479,522
2020-02-04,Mainland China,Hunan,593,0,31
2020-02-04,Mainland China,Inner Mongolia,35,0,1
2020-02-04,Mainland China,Jiangsu,308,0,12
2020-02-04,Mainland China,Jiangxi,476,0,20
2020-02-04,Mainland China,Jilin,42,0,1
2020-02-04,Mainland China,Liaoning,81,0,2
2020-02-04,Mainland China,Ningxia,68,0,2
2020-02-04,Mainland China,Qinghai,15,0,0
2020-02-04,Mainland China,Shaanxi,142,0,2
2020-02-04,Mainland China,Shandong,275,0,11
2020-02-04,Mainland China,Shanghai,219,1,12
2020-02-04,Mainland China,Shanxi,81,0,4
2020-02-04,Mainland China,Sichuan,282,1,14
2020-02-04,Mainland China,Tianjin,67,0,2
2020-02-04,Mainland China,Xinjiang,29,0,0
2020-02-04,Mainland China,Yunnan,122,0,5
2020-02-04,Mainland China,Zhejiang,829,0,62
2020-02-04,Taiwan,Taiwan,22,0,0
2020-02-05,Canada,British Columbia,4,0,0
2020-02-05,Hong Kong,Hong Kong,21,1,0
2020-02-05,Mainland China,Anhui,530,0,23
2020-02-05,Mainland China,Beijing,253,1,24
2020-02-05,Mainland China,Chongqing,389,2,15
2020-02-05,Mainland China,Fujian,205,0,11
2020-02-05,Mainland China,Gansu,124,0,12
2020-02-05,Mainland China,Guangdong,895,0,49
2020-02-05,Mainland China,Guangxi,150,0,13
2020-02-05,Mainland China,Guizhou,64,1,9
2020-02-05,Mainland China,Hainan,99,1,5
2020-02-05,Mainland China,Hebei,135,1,6
2020-02-05,Mainland China,Heilongjiang,190,2,7
2020-02-05,Mainland China,Henan,764,2,47
2020-02-05,Mainland China,Hubei,19665,549,633
2020-02-05,Mainland China,Hunan,661,0,54
2020-02-05,Mainland China,Inner Mongolia,42,0,3
2020-02-05,Mainland China,Jiangsu,341,0,23
2020-02-05,Mainland China,Jiangxi,548,0,27
2020-02-05,Mainland China,Jilin,54,0,2
2020-02-05,Mainland China,Liaoning,89,0,4
2020-02-05,Mainland China,Qinghai,17,0,3
2020-02-05,Mainland China,Shaanxi,165,0,6
2020-02-05,Mainland China,Shandong,307,0,15
2020-02-05,Mainland China,Shanghai,243,1,15
2020-02-05,Mainland China,Shanxi,81,0,5
2020-02-05,Mainland China,Sichuan,301,1,24
2020-02-05,Mainland China,Tianjin,69,1,2
2020-02-05,Mainland China,Xinjiang,32,0,0
2020-02-05,Mainland China,Yunnan,128,0,5
2020-02-05,Mainland China,Zhejiang,895,0,78
2020-02-06,Australia,New South Wales,28,0,14
2020-02-06,Australia,Queensland,4,0,0
2020-02-06,Hong Kong,Hong Kong,24,1,0
2020-02-06,Macau,Macau,60,0,6
2020-02-06,Mainland China,Anhui,591,0,34
2020-02-06,Mainland China,Beijing,274,1,31
2020-02-06,Mainland China,Chongqing,411,2,24
2020-02-06,Mainland China,Fujian,215,0,14
2020-02-06,Mainland China,Guangdong,970,0,69
2020-02-06,Mainland China,Guangxi,168,0,14
2020-02-06,Mainland China,Guizhou,71,1,6
2020-02-06,Mainland China,Hainan,106,1,8
